AGEGROUP,Time,HEALTHY,INFECTED_NOSYMPTOMS_NOTCONTAGIOUS,INFECTED_NOSYMPTOMS_ISCONTAGIOUS,INFECTED_SYMPTOMS_MILD,INFECTED_SYMPTOMS_SEVERE_ICpossible,INFECTED_SYMPTOMS_SEVERE_ICnotpossible,CURED,DEAD,NAME,OBJECTID
AGE_85_100,38,28210,0,2,0,0,0,4,1,Achterhoek,16
AGE_0_18,39,77607,2,0,1,0,0,8,0,Achterhoek,16
AGE_18_35,39,94406,0,2,0,0,0,9,0,Achterhoek,16
AGE_35_45,39,44767,0,0,0,0,0,2,0,Achterhoek,16
AGE_45_65,39,78148,1,3,0,0,0,10,0,Achterhoek,16
AGE_65_85,39,78051,1,0,0,1,0,7,0,Achterhoek,16
AGE_85_100,39,28210,0,0,1,0,0,5,1,Achterhoek,16
AGE_0_18,40,77606,1,2,0,1,0,8,0,Achterhoek,16
AGE_18_35,40,94406,0,0,1,0,0,10,0,Achterhoek,16
AGE_35_45,40,44767,0,0,0,0,0,2,0,Achterhoek,16
AGE_45_65,40,78148,0,3,0,0,0,11,0,Achterhoek,16
AGE_65_85,40,78051,1,0,0,1,0,7,0,Achterhoek,16
AGE_85_100,40,28210,0,0,1,0,0,5,1,Achterhoek,16
AGE_0_18,41,77605,1,2,0,0,0,9,1,Achterhoek,16
AGE_18_35,41,94404,2,0,0,0,1,10,0,Achterhoek,16
AGE_35_45,41,44767,0,0,0,0,0,2,0,Achterhoek,16
AGE_45_65,41,78147,1,3,0,0,0,11,0,Achterhoek,16
AGE_65_85,41,78049,2,0,0,1,0,8,0,Achterhoek,16
AGE_85_100,41,28210,0,0,0,0,0,6,1,Achterhoek,16
AGE_0_18,0,171379,2,0,0,0,0,0,0,Agglomeratie 's-Gravenhage,29
AGE_18_35,0,207279,2,0,0,0,0,0,0,Agglomeratie 's-Gravenhage,29
AGE_35_45,0,99434,0,0,0,0,0,0,0,Agglomeratie 's-Gravenhage,29
AGE_45_65,0,170731,1,0,0,0,0,0,0,Agglomeratie 's-Gravenhage,29
AGE_65_85,0,170334,2,0,0,0,0,0,0,Agglomeratie 's-Gravenhage,29
AGE_85_100,0,63810,0,0,0,0,0,0,0,Agglomeratie 's-Gravenhage,29
AGE_0_18,1,171379,1,1,0,0,0,0,0,Agglomeratie 's-Gravenhage,29
AGE_18_35,1,207279,1,0,0,0,0,1,0,Agglomeratie 's-Gravenhage,29
AGE_35_45,1,99434,0,0,0,0,0,0,0,Agglomeratie 's-Gravenhage,29
AGE_45_65,1,170731,0,1,0,0,0,0,0,Agglomeratie 's-Gravenhage,29
AGE_65_85,1,170334,1,0,0,0,0,1,0,Agglomeratie 's-Gravenhage,29
AGE_85_100,1,63810,0,0,0,0,0,0,0,Agglomeratie 's-Gravenhage,29
AGE_0_18,2,171379,1,0,0,0,0,1,0,Agglomeratie 's-Gravenhage,29
AGE_18_35,2,207279,1,0,0,0,0,1,0,Agglomeratie 's-Gravenhage,29
AGE_35_45,2,99434,0,0,0,0,0,0,0,Agglomeratie 's-Gravenhage,29
AGE_45_65,2,170731,0,0,1,0,0,0,0,Agglomeratie 's-Gravenhage,29
AGE_65_85,2,170334,0,0,0,0,0,2,0,Agglomeratie 's-Gravenhage,29
AGE_85_100,2,63810,0,0,0,0,0,0,0,Agglomeratie 's-Gravenhage,29
AGE_0_18,3,171379,1,0,0,0,0,1,0,Agglomeratie 's-Gravenhage,29
AGE_18_35,3,207279,0,1,0,0,0,1,0,Agglomeratie 's-Gravenhage,29
AGE_35_45,3,99434,0,0,0,0,0,0,0,Agglomeratie 's-Gravenhage,29
AGE_45_65,3,170731,0,0,0,0,1,0,0,Agglomeratie 's-Gravenhage,29
AGE_65_85,3,170334,0,0,0,0,0,2,0,Agglomeratie 's-Gravenhage,29
AGE_85_100,3,63810,0,0,0,0,0,0,0,Agglomeratie 's-Gravenhage,29
AGE_0_18,4,171379,0,1,0,0,0,1,0,Agglomeratie 's-Gravenhage,29
AGE_18_35,4,207279,0,0,1,0,0,1,0,Agglomeratie 's-Gravenhage,29
AGE_35_45,4,99434,0,0,0,0,0,0,0,Agglomeratie 's-Gravenhage,29
AGE_45_65,4,170731,0,0,0,0,1,0,0,Agglomeratie 's-Gravenhage,29
AGE_65_85,4,170334,0,0,0,0,0,2,0,Agglomeratie 's-Gravenhage,29
AGE_85_100,4,63810,0,0,0,0,0,0,0,Agglomeratie 's-Gravenhage,29
AGE_0_18,5,171379,0,0,0,0,0,2,0,Agglomeratie 's-Gravenhage,29
AGE_18_35,5,207278,1,0,0,1,0,1,0,Agglomeratie 's-Gravenhage,29
AGE_35_45,5,99434,0,0,0,0,0,0,0,Agglomeratie 's-Gravenhage,29
AGE_45_65,5,170730,1,0,0,0,0,0,1,Agglomeratie 's-Gravenhage,29
AGE_65_85,5,170334,0,0,0,0,0,2,0,Agglomeratie 's-Gravenhage,29
AGE_85_100,5,63810,0,0,0,0,0,0,0,Agglomeratie 's-Gravenhage,29
AGE_0_18,6,171379,0,0,0,0,0,2,0,Agglomeratie 's-Gravenhage,29
AGE_18_35,6,207278,1,0,0,0,0,2,0,Agglomeratie 's-Gravenhage,29
AGE_35_45,6,99434,0,0,0,0,0,0,0,Agglomeratie 's-Gravenhage,29
AGE_45_65,6,170730,1,0,0,0,0,0,1,Agglomeratie 's-Gravenhage,29
AGE_65_85,6,170334,0,0,0,0,0,2,0,Agglomeratie 's-Gravenhage,29
AGE_85_100,6,63810,0,0,0,0,0,0,0,Agglomeratie 's-Gravenhage,29
AGE_0_18,7,171379,0,0,0,0,0,2,0,Agglomeratie 's-Gravenhage,29
AGE_18_35,7,207276,3,0,0,0,0,2,0,Agglomeratie 's-Gravenhage,29
AGE_35_45,7,99434,0,0,0,0,0,0,0,Agglomeratie 's-Gravenhage,29
AGE_45_65,7,170730,1,0,0,0,0,0,1,Agglomeratie 's-Gravenhage,29
AGE_65_85,7,170334,0,0,0,0,0,2,0,Agglomeratie 's-Gravenhage,29
AGE_85_100,7,63810,0,0,0,0,0,0,0,Agglomeratie 's-Gravenhage,29
AGE_0_18,8,171378,1,0,0,0,0,2,0,Agglomeratie 's-Gravenhage,29
AGE_18_35,8,207275,1,2,0,0,0,3,0,Agglomeratie 's-Gravenhage,29
AGE_35_45,8,99434,0,0,0,0,0,0,0,Agglomeratie 's-Gravenhage,29
AGE_45_65,8,170730,1,0,0,0,0,0,1,Agglomeratie 's-Gravenhage,29
AGE_65_85,8,170334,0,0,0,0,0,2,0,Agglomeratie 's-Gravenhage,29
AGE_85_100,8,63809,1,0,0,0,0,0,0,Agglomeratie 's-Gravenhage,29
AGE_0_18,9,171377,1,1,0,0,0,2,0,Agglomeratie 's-Gravenhage,29
AGE_18_35,9,207275,1,1,1,0,0,3,0,Agglomeratie 's-Gravenhage,29
AGE_35_45,9,99434,0,0,0,0,0,0,0,Agglomeratie 's-Gravenhage,29
AGE_45_65,9,170730,0,0,0,0,0,1,1,Agglomeratie 's-Gravenhage,29
AGE_65_85,9,170333,1,0,0,0,0,2,0,Agglomeratie 's-Gravenhage,29
AGE_85_100,9,63809,1,0,0,0,0,0,0,Agglomeratie 's-Gravenhage,29
AGE_0_18,10,171377,0,0,1,0,0,3,0,Agglomeratie 's-Gravenhage,29
AGE_18_35,10,207273,3,1,1,0,0,3,0,Agglomeratie 's-Gravenhage,29
AGE_35_45,10,99434,0,0,0,0,0,0,0,Agglomeratie 's-Gravenhage,29
AGE_45_65,10,170730,0,0,0,0,0,1,1,Agglomeratie 's-Gravenhage,29
AGE_65_85,10,170333,0,1,0,0,0,2,0,Agglomeratie 's-Gravenhage,29
AGE_85_100,10,63808,2,0,0,0,0,0,0,Agglomeratie 's-Gravenhage,29
AGE_0_18,11,171377,0,0,1,0,0,3,0,Agglomeratie 's-Gravenhage,29
AGE_18_35,11,207273,1,0,0,0,1,6,0,Agglomeratie 's-Gravenhage,29
AGE_35_45,11,99434,0,0,0,0,0,0,0,Agglomeratie 's-Gravenhage,29
AGE_45_65,11,170730,0,0,0,0,0,1,1,Agglomeratie 's-Gravenhage,29
AGE_65_85,11,170333,0,0,0,0,0,3,0,Agglomeratie 's-Gravenhage,29
AGE_85_100,11,63808,2,0,0,0,0,0,0,Agglomeratie 's-Gravenhage,29
AGE_0_18,12,171375,2,0,0,0,1,3,0,Agglomeratie 's-Gravenhage,29
AGE_18_35,12,207273,1,0,0,0,0,7,0,Agglomeratie 's-Gravenhage,29
AGE_35_45,12,99434,0,0,0,0,0,0,0,Agglomeratie 's-Gravenhage,29
AGE_45_65,12,170730,0,0,0,0,0,1,1,Agglomeratie 's-Gravenhage,29
AGE_65_85,12,170333,0,0,0,0,0,3,0,Agglomeratie 's-Gravenhage,29
AGE_85_100,12,63808,1,1,0,0,0,0,0,Agglomeratie 's-Gravenhage,29
AGE_0_18,13,171375,1,0,0,0,0,5,0,Agglomeratie 's-Gravenhage,29
AGE_18_35,13,207273,0,0,0,0,0,8,0,Agglomeratie 's-Gravenhage,29
AGE_35_45,13,99433,1,0,0,0,0,0,0,Agglomeratie 's-Gravenhage,29
AGE_45_65,13,170729,1,0,0,0,0,1,1,Agglomeratie 's-Gravenhage,29
AGE_65_85,13,170333,0,0,0,0,0,3,0,Agglomeratie 's-Gravenhage,29
AGE_85_100,13,63808,0,1,0,0,0,1,0,Agglomeratie 's-Gravenhage,29
